"Campaign","Payout Type","Publisher","Experiment IntelliBid","Impressions","Conversions","Conversions one day","Booked Revenue (INR)","Cost (INR)","ePPC (INR)","ePPA (INR)"
"","","rtbFBX","A23","218.0","0.0","0.0","0.0","1.79870607","NaN","NaN"
"Br_Cipela","CPC","rtbFBX","A23","120.0","0.0","0.0","8.4604473","2.5242218400000005","8.4604473","Infinity"
"Br_ClubeDeRicardo","CPC","rtbFB-XNF","A23","18.0","0.0","0.0","0.0","1.15229247","NaN","NaN"
"","","rtbFBX","A23","650.0","0.0","0.0","0.0","12.754934745","NaN","NaN"
"Br_Consul","CPA","rtbFBX","A23","2148.0","0.0","0.0","0.0","51.999426465","0.0","NaN"
"Br_Ecolchao","CPC","rtbFB-XNF","A23","1.0","0.0","0.0","0.0","0.00934248","NaN","NaN"
"","","rtbFBX","A23","135.0","0.0","0.0","0.0","3.587466645","NaN","NaN"
"Br_Hering_Dzarm","CPC","rtbFBX","A23","58.0","0.0","0.0","7.3744454","2.04711192","7.3744454","Infinity"
"Br_Olook","CPA","rtbFBX","A23","39.0","0.0","0.0","0.0","0.9839239200000001","NaN","NaN"
"Br_SemParar","CPC","rtbFB-XNF","A23","16.0","0.0","0.0","0.0","1.0034916150000002","NaN","NaN"
"","","rtbFBX","A23","238.0","0.0","0.0","0.0","1.55961813","NaN","NaN"
"MW_Dinda_BR","CPC","rtbFBX","A23","18.0","0.0","0.0","0.0","0.208209015","NaN","NaN"
"MW_Netshoes_BR_E","CPA","rtb-google-auto","A23","79723.0","49.0","8.0","6211.6016101000005","3943.464116592","10.492570287331082","126.7673797979592"
"Netshoes-brazil","CPA","rtbFB-XNF","A23","25131.0","81.0","8.0","10268.2274277","7323.67526478","29.171100646875","126.76823984814814"
"","","rtbFBX","A23","3561648.0","1184.0","513.0","150106.85877209998","184109.93761314","11.572497014270294","126.77944153048985"
"","","rtb-google-auto","A23","892135.0","429.0","159.0","54392.7499004","50656.57758387199","12.65830809876658","126.7896268074592"
"","","rtbappnexus","A23","411255.0","248.0","81.0","31443.6046533","37803.591459881005","12.542323355923415","126.7887284407258"
"Netshoes_argentina","CPC","rtbFB-XNF","A23","11037.0","10.0","4.0","1629.6207634000002","1096.960287885","9.586004490588236","162.96207634"
"","","rtbFBX","A23","2130955.0","235.0","106.0","71018.9635665","52252.615414755","9.58161947740151","302.20835560212765"
"","","rtb-google-auto","A23","486057.0","41.0","9.0","14253.7519336","14142.934110656002","9.585576283523874","347.6524861853659"
"","","rtbappnexus","A23","110619.0","21.0","12.0","5905.5175655","3964.868338816","9.586879164772729","281.2151221666667"
"br_edestinos","CPA","rtbFB-XNF","A23","130.0","0.0","0.0","0.0","14.603013705","0.0","NaN"
"","","rtbFBX","A23","1994.0","0.0","0.0","0.0","31.1963001","0.0","NaN"
"br_marisa","CPA","rtbFB-XNF","A23","59.0","1.0","0.0","21.1511173","9.343882065","10.57555865","21.1511173"
"","","rtbFBX","A23","1160.0","1.0","1.0","21.1511173","59.426262105","5.287779325","21.1511173"
"CN_Choies","CPC","rtbFBX","A23","38.0","0.0","0.0","0.0","1.57144785","NaN","NaN"
